Method,Type,Precision@10,Recall@10,Hit Rate@10,Is_Best
SVD-100,Matrix Factorization,15.510204081632653,3.953921182510759,58.16326530612245,⭐
SVD-50,Matrix Factorization,15.204081632653061,3.9499144165665494,56.12244897959183,
SVD-200,Matrix Factorization,14.081632653061224,2.909851719386413,58.16326530612245,
Item-Based CF,Collaborative Filtering,14.081632653061224,3.3214843242032313,48.97959183673469,
Hybrid Content-Based,Content-Based,4.6,0.3709067600209563,21.0,
User-Based CF,Collaborative Filtering,1.7346938775510208,0.6749624795587805,16.3265306122449,
